customer_id,signup_date,region
1,2023-04-13,South
2,2023-12-15,South
3,2023-09-28,East
4,2023-04-17,East
5,2023-03-13,North
6,2023-07-08,West
7,2023-01-21,East
8,2023-04-13,North
9,2023-05-02,East
10,2023-08-03,North
11,2023-11-27,North
12,2023-03-29,West
13,2023-04-10,East
14,2023-12-26,North
15,2023-06-01,South
16,2023-05-11,South
17,2023-05-30,South
18,2023-11-05,West
19,2023-09-15,North
20,2023-12-10,West
21,2023-10-21,East
22,2023-07-11,East
23,2023-10-04,North
24,2023-06-10,South
25,2023-11-10,North
26,2023-01-22,North
27,2023-09-10,North
28,2023-08-24,West
29,2023-12-11,East
30,2023-02-18,North
31,2023-02-28,North
32,2023-06-19,North
33,2023-07-07,West
34,2023-09-28,West
35,2023-07-09,West
36,2023-06-24,North
37,2023-02-20,South
38,2023-12-30,South
39,2023-02-24,South
40,2023-09-01,East
41,2023-11-16,North
42,2023-05-11,South
43,2023-11-03,South
44,2023-05-15,South
45,2023-01-21,North
46,2023-11-25,South
47,2023-06-16,South
48,2023-10-01,North
49,2023-03-30,East
50,2023-11-12,West
51,2023-01-14,South
52,2023-08-30,West
53,2023-09-22,East
54,2023-12-12,East
55,2023-02-22,South
56,2023-12-06,North
57,2023-04-02,East
58,2023-09-21,West
59,2023-02-04,West
60,2023-07-25,West
61,2023-03-22,West
62,2023-02-19,East
63,2023-12-26,South
64,2023-01-02,South
65,2023-02-23,West
66,2023-04-16,South
67,2023-09-17,West
68,2023-11-06,West
69,2023-07-10,North
70,2023-08-06,East
71,2023-02-13,East
72,2023-06-11,West
73,2023-07-21,East
74,2023-09-27,South
75,2023-12-17,West
76,2023-10-31,North
77,2023-09-28,South
78,2023-08-03,North
79,2023-09-09,North
80,2023-07-09,East
81,2023-10-23,East
82,2023-08-01,West
83,2023-07-27,East
84,2023-08-25,North
85,2023-12-04,North
86,2023-02-22,South
87,2023-10-07,North
88,2023-08-05,West
89,2023-09-09,West
90,2023-07-07,East
91,2023-02-10,East
92,2023-06-06,East
93,2023-01-15,West
94,2023-10-28,North
95,2023-03-06,East
96,2023-12-11,South
97,2023-11-23,East
98,2023-01-09,West
99,2023-12-10,East
100,2023-05-09,North
101,2023-05-16,East
102,2023-03-04,West
103,2023-05-19,West
104,2023-03-22,South
105,2023-06-12,West
106,2023-10-16,South
107,2023-09-18,North
108,2023-08-19,West
109,2023-02-10,East
110,2023-01-28,North
111,2023-05-15,East
112,2023-07-20,East
113,2023-11-24,East
114,2023-09-25,North
115,2023-02-02,North
116,2023-02-17,West
117,2023-03-03,East
118,2023-08-04,South
119,2023-10-20,West
120,2023-04-09,North
121,2023-06-21,South
122,2023-12-26,North
123,2023-08-02,South
124,2023-02-04,West
125,2023-08-15,South
126,2023-04-11,West
127,2023-05-11,North
128,2023-09-14,South
129,2023-01-05,East
130,2023-08-06,East
131,2023-09-12,North
132,2023-12-25,South
133,2023-10-10,East
134,2023-07-26,West
135,2023-01-15,South
136,2023-12-12,South
137,2023-02-11,East
138,2023-06-28,West
139,2023-03-04,West
140,2023-12-18,West
141,2023-08-19,South
142,2023-08-29,North
143,2023-02-21,South
144,2023-04-06,South
145,2023-08-10,East
146,2023-08-19,North
147,2023-08-25,West
148,2023-05-23,East
149,2023-06-20,South
150,2023-01-29,North
151,2023-02-05,West
152,2023-01-13,West
153,2023-06-09,South
154,2023-11-23,West
155,2023-07-06,West
156,2023-08-31,North
157,2023-03-27,East
158,2023-10-11,North
159,2023-03-07,East
160,2023-06-19,East
161,2023-02-14,East
162,2023-03-03,West
163,2023-05-14,North
164,2023-10-11,West
165,2023-01-28,South
166,2023-04-18,North
167,2023-02-13,East
168,2023-12-06,West
169,2023-10-13,West
170,2023-11-27,North
171,2023-05-08,North
172,2023-12-14,East
173,2023-08-19,East
174,2023-07-09,South
175,2023-08-13,East
176,2023-10-10,West
177,2023-05-01,South
178,2023-04-26,South
179,2023-08-21,South
180,2023-09-16,North
181,2023-12-25,East
182,2023-07-17,South
183,2023-05-17,North
184,2023-11-14,North
185,2023-06-14,South
186,2023-08-13,South
187,2023-11-03,West
188,2023-08-22,South
189,2023-06-21,West
190,2023-06-01,South
191,2023-11-11,South
192,2023-06-09,East
193,2023-04-06,South
194,2023-08-21,South
195,2023-06-29,West
196,2023-04-23,West
197,2023-11-14,East
198,2023-02-21,South
199,2023-09-25,South
200,2023-10-22,West
201,2023-04-23,North
202,2023-04-11,North
203,2023-04-23,North
204,2023-03-22,West
205,2023-07-06,West
206,2023-04-23,North
207,2023-01-02,North
208,2023-05-10,South
209,2023-08-08,West
210,2023-02-23,West
211,2023-12-09,North
212,2023-08-12,North
213,2023-08-13,East
214,2023-05-06,West
215,2023-05-10,East
216,2023-02-22,South
217,2023-06-21,East
218,2023-08-06,North
219,2023-06-09,West
220,2023-07-17,West
221,2023-09-04,East
222,2023-11-20,East
223,2023-07-22,South
224,2023-07-03,South
225,2023-05-03,North
226,2023-09-12,North
227,2023-10-21,North
228,2023-10-07,East
229,2023-11-21,East
230,2023-04-08,West
231,2023-07-17,North
232,2023-08-28,East
233,2023-05-24,West
234,2023-04-07,North
235,2023-07-20,South
236,2023-05-04,South
237,2023-07-06,East
238,2023-11-22,West
239,2023-12-15,South
240,2023-09-16,West
241,2023-05-28,West
242,2023-09-09,South
243,2023-12-12,West
244,2023-05-27,South
245,2023-05-28,East
246,2023-12-18,North
247,2023-07-18,North
248,2023-11-04,East
249,2023-05-08,South
250,2023-02-08,South
251,2023-12-04,South
252,2023-12-26,South
253,2023-05-09,East
254,2023-09-24,North
255,2023-05-31,West
256,2023-10-25,West
257,2023-04-09,North
258,2023-09-20,East
259,2023-09-09,West
260,2023-05-24,North
261,2023-12-12,East
262,2023-04-22,West
263,2023-03-01,South
264,2023-01-02,South
265,2023-10-31,East
266,2023-09-11,South
267,2023-05-20,East
268,2023-02-06,North
269,2023-06-09,North
270,2023-01-09,West
271,2023-08-21,East
272,2023-04-09,West
273,2023-05-27,West
274,2023-10-31,North
275,2023-07-27,West
276,2023-05-11,South
277,2023-06-01,West
278,2023-02-23,East
279,2023-04-30,South
280,2023-06-10,North
281,2023-04-26,East
282,2023-03-16,South
283,2023-04-23,East
284,2023-04-14,South
285,2023-12-06,East
286,2023-09-11,East
287,2023-08-15,South
288,2023-04-22,North
289,2023-04-09,North
290,2023-06-02,East
291,2023-12-15,East
292,2023-12-04,North
293,2023-07-13,North
294,2023-11-06,West
295,2023-06-12,North
296,2023-07-27,East
297,2023-06-18,South
298,2023-06-10,North
299,2023-03-09,West
300,2023-10-16,West
301,2023-10-04,West
302,2023-10-31,South
303,2023-05-15,North
304,2023-07-14,North
305,2023-05-08,North
306,2023-02-02,South
307,2023-06-25,South
308,2023-01-22,East
309,2023-08-26,West
310,2023-06-07,West
311,2023-02-07,North
312,2023-08-18,South
313,2023-12-31,South
314,2023-02-20,North
315,2023-09-21,North
316,2023-10-10,East
317,2023-01-27,West
318,2023-08-14,West
319,2023-10-04,West
