order_id,customer_id,order_date,revenue
10001,5767,2024-01-27,1006
10002,3409,2024-03-19,976
10003,8645,2024-03-23,1301
10004,2164,2024-01-20,1854
10005,1854,2024-02-16,1558
10006,1514,2024-03-16,745
10007,5239,2024-03-27,1541
10008,6402,2024-03-06,614
10009,2022,2024-02-07,817
10010,2822,2024-02-25,585
10011,6133,2024-01-27,1260
10012,864,2024-01-10,1680
10013,5308,2024-03-17,418
10014,2305,2024-03-27,1417
10015,6735,2024-02-24,1648
10016,4670,2024-03-06,227
10017,6957,2024-03-07,350
10018,2954,2024-03-03,213
10019,5251,2024-02-25,1782
10020,3601,2024-02-26,1424
10021,1768,2024-01-30,1998
10022,6060,2024-02-23,1858
10023,2212,2024-03-02,699
10024,38,2024-01-20,1526
10025,2615,2024-02-28,1831
10026,1664,2024-03-12,1069
10027,7915,2024-03-09,296
10028,9185,2024-01-19,353
10029,9821,2024-03-18,397
10030,9884,2024-03-09,784
10031,9523,2024-01-27,1490
10032,4724,2024-03-12,539
10033,2803,2024-03-17,515
10034,8202,2024-02-24,1251
10035,8314,2024-01-07,1519
10036,1362,2024-02-04,346
10037,2416,2024-01-12,355
10038,7102,2024-02-03,1419
10039,9561,2024-03-28,1075
10040,8002,2024-02-08,1043
10041,1316,2024-01-08,1038
10042,1360,2024-02-23,1278
10043,7838,2024-02-20,1419
10044,9910,2024-03-16,786
10045,1239,2024-03-10,682
10046,6583,2024-01-06,1453
10047,1487,2024-03-22,1168
10048,4682,2024-01-24,288
10049,664,2024-02-17,1615
10050,3970,2024-02-21,1283
10051,3491,2024-02-05,1752
10052,988,2024-03-02,1547
10053,6404,2024-03-10,1258
10054,9707,2024-02-04,450
10055,4298,2024-01-03,357
10056,4882,2024-02-24,206
10057,3955,2024-02-08,1918
10058,7142,2024-01-15,712
10059,5204,2024-01-15,1390
10060,1559,2024-03-21,552
10061,2122,2024-02-11,1007
10062,606,2024-02-14,1511
10063,1235,2024-03-28,913
10064,3292,2024-02-17,934
10065,969,2024-01-02,1519
10066,242,2024-03-22,567
10067,7128,2024-01-09,714
10068,3413,2024-03-01,1687
10069,2500,2024-01-22,1432
10070,2759,2024-02-09,1504
10071,7059,2024-02-21,233
10072,8595,2024-02-18,1933
10073,9201,2024-03-20,472
10074,9515,2024-01-23,1590
10075,8850,2024-02-17,1871
10076,701,2024-01-04,649
10077,1984,2024-03-16,567
10078,8507,2024-03-25,1171
10079,7701,2024-01-31,1737
10080,7055,2024-02-09,1643
10081,6060,2024-02-20,251
10082,8434,2024-01-19,1431
10083,2257,2024-03-29,1664
10084,3369,2024-01-17,1691
10085,3604,2024-01-09,1187
10086,4478,2024-01-04,869
10087,5023,2024-03-29,1515
10088,9860,2024-03-20,404
10089,4790,2024-02-02,1042
10090,130,2024-03-25,1365
10091,4861,2024-02-22,1811
10092,9614,2024-03-18,939
10093,3052,2024-02-12,1818
10094,2483,2024-03-05,1596
10095,7594,2024-01-15,462
10096,7058,2024-01-06,636
10097,2965,2024-02-22,1176
10098,1694,2024-02-21,814
10099,3284,2024-02-24,1093
10100,5894,2024-02-20,229
10101,6437,2024-03-28,1931
10102,3453,2024-03-11,1794
10103,1469,2024-01-30,1662
10104,9997,2024-01-06,352
10105,1293,2024-02-20,1232
10106,3656,2024-01-11,1827
10107,4787,2024-03-22,203
10108,9624,2024-01-15,467
10109,5564,2024-02-28,1489
10110,3365,2024-03-30,582
10111,4319,2024-03-18,1907
